Elspot Prices in NOK/MWh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data was last updated 31-12-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hours;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Tromsø;EE;EE;LV;LV;LT;LT;AT;AT;BE;BE;DE-LU;DE-LU;FR;FR;NL;NL
03.01.2019;13 - 14;564,23;521,23;521,23;625,36;625,36;625,36;625,36;625,36;625,36;625,36;560,76;521,23;521,23;521,23;;625,36;;625,36;;625,36;;;;;;;;;;
03.01.2019;14 - 15;564,03;521,43;521,43;630,8;630,8;630,8;630,8;630,8;630,8;630,8;560,86;521,43;521,43;521,43;;630,8;;630,8;;630,8;;;;;;;;;;
03.01.2019;15 - 16;567,1;522,02;522,02;655,18;655,18;655,18;655,18;655,18;655,18;655,18;561,45;522,02;522,02;522,02;;655,18;;655,18;;655,18;;;;;;;;;;
03.01.2019;16 - 17;571,46;523,61;523,61;677,77;677,77;677,77;677,77;677,77;677,77;677,77;562,05;523,61;523,61;523,61;;677,77;;677,77;;677,77;;;;;;;;;;
03.01.2019;17 - 18;570,96;520,93;520,93;689,06;689,06;689,06;689,06;689,06;689,06;689,06;561,35;520,93;520,93;520,93;;689,06;;689,06;;689,06;;;;;;;;;;
03.01.2019;18 - 19;564,72;517,46;517,46;650,62;650,62;650,62;650,62;650,62;650,62;650,62;560,46;517,46;517,46;517,46;;650,62;;650,62;;650,62;;;;;;;;;;
03.01.2019;19 - 20;557,09;518,45;518,45;609,4;609,4;609,4;609,4;609,4;609,4;609,4;560,07;518,45;518,45;518,45;;609,4;;609,4;;609,4;;;;;;;;;;
03.01.2019;20 - 21;546,89;528,46;528,46;555,21;570,67;555,21;555,21;570,67;555,21;555,21;555,21;528,46;528,46;528,46;;570,67;;570,67;;570,67;;;;;;;;;;
03.01.2019;21 - 22;535,2;535,69;535,69;539,36;539,36;539,36;539,36;539,36;539,36;539,36;539,36;535,69;535,69;535,69;;539,36;;539,36;;539,36;;;;;;;;;;
03.01.2019;22 - 23;514,79;516,08;516,08;516,08;516,08;516,08;516,08;516,08;516,08;516,08;516,08;516,08;516,08;516,08;;516,08;;516,08;;516,08;;;;;;;;;;
03.01.2019;23 - 00;494,38;495,17;495,17;495,17;495,17;495,17;495,17;495,17;495,17;495,17;495,17;495,17;495,17;495,17;;495,17;;495,17;;495,17;;;;;;;;;;
04.01.2019;00 - 01;496,59;495,69;495,69;495,69;495,69;495,69;495,69;495,69;496,79;496,79;496,79;495,69;495,69;495,69;;495,69;;495,69;;495,69;;;;;;;;;;
04.01.2019;01 - 02;479,79;476,81;476,81;476,81;476,81;476,81;468,26;476,81;483,77;483,77;483,77;476,81;476,81;476,81;;476,81;;476,81;;476,81;;;;;;;;;;
04.01.2019;02 - 03;469,65;467,86;467,86;467,86;467,86;467,86;467,86;467,86;474,22;474,22;474,22;467,86;467,86;467,86;;467,86;;467,86;;467,86;;;;;;;;;;
04.01.2019;03 - 04;469,05;467,66;467,66;467,66;467,66;467,66;466,57;466,57;473,53;473,53;473,53;467,66;467,66;467,66;;467,66;;467,66;;467,66;;;;;;;;;;
04.01.2019;04 - 05;472,14;471,44;471,44;471,44;471,44;471,44;467,17;467,17;471,44;471,44;471,44;471,44;471,44;471,44;;471,44;;471,44;;471,44;;;;;;;;;;
04.01.2019;05 - 06;482,17;482,87;482,87;482,87;482,87;482,87;466,27;466,27;482,87;482,87;482,87;482,87;482,87;482,87;;482,87;;482,87;;482,87;;;;;;;;;;
04.01.2019;06 - 07;506,73;505,63;505,63;505,63;505,63;508,91;492,91;505,63;505,63;505,63;505,63;505,63;505,63;505,63;;508,91;;508,91;;508,91;;;;;;;;;;
04.01.2019;07 - 08;522,73;516,47;516,47;520,05;536,64;574,22;549,37;536,64;520,05;520,05;520,05;516,47;516,47;516,47;;574,22;;574,22;;574,22;;;;;;;;;;
04.01.2019;08 - 09;534,95;522,93;522,93;541,12;541,12;596,78;541,12;541,12;541,12;541,12;541,12;522,93;522,93;522,93;;596,78;;596,78;;596,78;;;;;;;;;;
04.01.2019;09 - 10;534,95;528,69;528,69;538,53;538,53;595,79;538,53;538,53;538,53;538,53;538,53;528,69;528,69;528,69;;595,79;;595,79;;595,79;;;;;;;;;;
04.01.2019;10 - 11;535,15;532,07;532,07;535,75;535,75;595,59;535,75;535,75;535,75;535,75;535,75;532,07;532,07;532,07;;595,59;;595,59;;595,59;;;;;;;;;;
04.01.2019;11 - 12;529,39;526,9;526,9;526,9;526,9;576,4;526,9;526,9;526,9;526,9;526,9;526,9;526,9;526,9;;576,4;;576,4;;576,4;;;;;;;;;;
04.01.2019;12 - 13;516,07;514,28;514,28;514,28;514,28;580,78;514,28;514,28;514,28;514,28;514,28;514,28;514,28;514,28;;580,78;;580,78;;580,78;;;;;;;;;;
04.01.2019;13 - 14;515,87;512,89;512,89;512,89;512,89;576,3;512,89;512,89;512,89;512,89;512,89;512,89;512,89;512,89;;576,3;;576,3;;576,3;;;;;;;;;;
04.01.2019;14 - 15;514,48;511;511;511;511;580,18;511;511;511;511;511;511;511;511;;580,18;;580,18;;580,18;;;;;;;;;;
04.01.2019;15 - 16;516,77;513,78;513,78;513,78;513,78;603,04;513,78;513,78;513,78;513,78;513,78;513,78;513,78;513,78;;603,04;;603,04;;603,04;;;;;;;;;;
04.01.2019;16 - 17;527,5;522,73;522,73;522,73;522,73;595,89;522,73;522,73;522,73;522,73;522,73;522,73;522,73;522,73;;595,89;;595,89;;595,89;;;;;;;;;;
04.01.2019;17 - 18;533,46;530,18;530,18;530,18;530,18;595,59;530,18;530,18;530,18;530,18;530,18;530,18;530,18;530,18;;595,59;;595,59;;595,59;;;;;;;;;;
04.01.2019;18 - 19;528,39;524,92;524,92;524,92;524,92;572,33;524,92;524,92;524,92;524,92;524,92;524,92;524,92;524,92;;572,33;;572,33;;572,33;;;;;;;;;;
04.01.2019;19 - 20;516,77;514,78;514,78;514,78;514,78;587,44;515,77;514,78;514,78;514,78;514,78;514,78;514,78;514,78;;587,44;;587,44;;587,44;;;;;;;;;;
04.01.2019;20 - 21;508,22;507,32;507,32;507,32;507,32;538,93;462,99;507,32;507,32;507,32;507,32;507,32;507,32;507,32;;538,93;;538,93;;538,93;;;;;;;;;;
04.01.2019;21 - 22;499,97;501,46;501,46;501,46;501,46;501,46;451,56;451,56;501,46;501,46;501,46;501,46;501,46;501,46;;501,46;;501,46;;501,46;;;;;;;;;;
04.01.2019;22 - 23;493,7;494,9;494,9;494,9;494,9;494,9;436,95;436,95;494,9;494,9;494,9;494,9;494,9;494,9;;494,9;;494,9;;494,9;;;;;;;;;;
04.01.2019;23 - 00;486,35;487,24;487,24;487,24;487,24;487,24;312,21;312,21;487,24;487,24;487,24;487,24;487,24;487,24;;487,24;;487,24;;487,24;;;;;;;;;;
05.01.2019;00 - 01;473,17;477,81;477,81;477,81;477,81;477,81;265,45;265,45;477,81;477,81;477,81;477,81;477,81;477,81;;477,81;;477,81;;477,81;;;;;;;;;;
05.01.2019;01 - 02;466,16;468,93;468,93;468,93;468,93;468,93;247,88;247,88;468,93;468,93;468,93;468,93;468,93;468,93;;468,93;;468,93;;468,93;;;;;;;;;;
05.01.2019;02 - 03;462,91;465,67;465,67;465,67;465,67;465,67;238,02;238,02;465,67;465,67;465,67;465,67;465,67;465,67;;465,67;;465,67;;463,6;;;;;;;;;;
05.01.2019;03 - 04;459,06;463,8;463,8;463,8;463,8;463,8;217,49;217,49;463,8;463,8;463,8;463,8;463,8;463,8;;463,8;;463,8;;463,8;;;;;;;;;;
05.01.2019;04 - 05;458,17;463,89;463,89;463,89;463,89;463,89;181,28;181,28;463,89;463,89;463,89;463,89;463,89;463,89;;463,89;;463,89;;463,89;;;;;;;;;;
05.01.2019;05 - 06;464,68;467,05;467,05;467,05;467,05;467,05;217,98;217,98;467,05;467,05;467,05;467,05;467,05;467,05;;467,05;;467,05;;467,05;;;;;;;;;;
05.01.2019;06 - 07;466,76;469,62;469,62;469,62;469,62;469,62;230,42;230,42;469,62;469,62;469,62;469,62;469,62;469,62;;469,62;;469,62;;469,62;;;;;;;;;;
05.01.2019;07 - 08;474,45;475,83;475,83;475,83;475,83;475,83;464,19;475,83;475,83;475,83;475,83;475,83;475,83;475,83;;475,83;;475,83;;475,83;;;;;;;;;;
05.01.2019;08 - 09;492,51;493,3;493,3;493,3;493,3;493,3;493,3;493,3;493,3;493,3;493,3;493,3;493,3;493,3;;493,3;;493,3;;493,3;;;;;;;;;;
05.01.2019;09 - 10;500,31;500,6;500,6;500,6;500,6;507,91;500,6;500,6;500,6;500,6;500,6;500,6;500,6;500,6;;507,91;;507,91;;507,91;;;;;;;;;;
05.01.2019;10 - 11;502,77;502,58;502,58;502,58;502,58;518,37;502,58;502,58;502,58;502,58;502,58;502,58;502,58;502,58;;518,37;;518,37;;518,37;;;;;;;;;;
05.01.2019;11 - 12;503,86;503,47;503,47;503,47;503,47;527,84;503,47;503,47;503,47;503,47;503,47;503,47;503,47;503,47;;527,84;;527,84;;527,84;;;;;;;;;;
05.01.2019;12 - 13;507,51;506,82;506,82;506,82;506,82;529,32;506,82;506,82;506,82;506,82;506,82;506,82;506,82;506,82;;529,32;;529,32;;529,32;;;;;;;;;;
05.01.2019;13 - 14;510,18;510,57;510,57;510,57;510,57;522,31;510,57;510,57;510,57;510,57;510,57;510,57;510,57;510,57;;522,31;;522,31;;522,31;;;;;;;;;;
05.01.2019;14 - 15;511,36;512,35;512,35;512,35;512,35;517,58;512,35;512,35;512,35;512,35;512,35;512,35;512,35;512,35;;517,58;;517,58;;517,58;;;;;;;;;;
05.01.2019;15 - 16;525,37;525,17;525,17;525,17;525,17;563,76;525,17;525,17;525,17;525,17;525,17;525,17;525,17;525,17;;563,76;;563,76;;558,43;;;;;;;;;;
05.01.2019;16 - 17;552,41;545,31;545,31;545,31;545,31;620,4;545,31;545,31;545,31;545,31;545,31;545,31;545,31;545,31;;620,4;;620,4;;620,4;;;;;;;;;;
05.01.2019;17 - 18;555,37;551,33;551,33;551,33;551,33;602,64;551,33;551,33;551,33;551,33;551,33;551,33;551,33;551,33;;602,64;;602,64;;602,64;;;;;;;;;;
05.01.2019;18 - 19;550,73;545,31;545,31;545,31;593,66;597,11;545,31;593,66;545,31;545,31;545,31;545,31;545,31;545,31;;597,11;;597,11;;597,11;;;;;;;;;;
05.01.2019;19 - 20;532,77;530,9;530,9;530,9;572,44;581,03;530,9;572,44;530,9;530,9;530,9;530,9;530,9;530,9;;581,03;;581,03;;581,03;;;;;;;;;;
05.01.2019;20 - 21;519,85;520,54;520,54;520,54;520,54;520,54;520,54;520,54;520,54;520,54;520,54;520,54;520,54;520,54;;520,54;;520,54;;520,54;;;;;;;;;;
05.01.2019;21 - 22;511,75;512,15;512,15;512,15;512,15;512,15;512,15;512,15;512,15;512,15;512,15;512,15;512,15;512,15;;512,15;;512,15;;512,15;;;;;;;;;;
05.01.2019;22 - 23;504,16;504,55;504,55;504,55;504,55;504,55;507,02;504,55;504,55;504,55;504,55;504,55;504,55;504,55;;504,55;;504,55;;504,55;;;;;;;;;;
05.01.2019;23 - 00;495,47;495,47;495,47;495,47;495,47;495,47;493,01;495,47;495,47;495,47;495,47;495,47;495,47;495,47;;495,47;;495,47;;495,47;;;;;;;;;;
